[Fri Aug 22 16:38:20 2025] Event: created, Path: hr_files\HR_myduyen_ly~2D35B.tmp
[Fri Aug 22 16:38:20 2025] Event: modified, Path: hr_files\HR_myduyen_ly~2D35B.tmp
[Fri Aug 22 16:38:20 2025] Event: modified, Path: hr_files\HR_myduyen_ly~2D35B.tmp
[Fri Aug 22 16:38:20 2025] Event: modified, Path: hr_files\HR_myduyen_ly~2D35B.tmp
[Fri Aug 22 16:38:20 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 16:38:20 2025] Event: moved, Path: hr_files\HR_myduyen_ly~2D35B.tmp
[Fri Aug 22 16:38:20 2025] Event: modified, Path: hr_files\HR_myduyen_ly~02D36B.tmp
[Fri Aug 22 16:38:20 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~02D36B.tmp
[Fri Aug 22 16:38:20 2025] Event: modified, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:38:27 2025] Event: modified, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:38:30 2025] Event: deleted, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:42:28 2025] Event: created, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:42:41 2025] Event: modified, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:42:55 2025] Event: created, Path: hr_files\HR_myduyen_ly~7070A.tmp
[Fri Aug 22 16:42:55 2025] Event: modified, Path: hr_files\HR_myduyen_ly~7070A.tmp
[Fri Aug 22 16:42:55 2025] Event: modified, Path: hr_files\HR_myduyen_ly~7070A.tmp
[Fri Aug 22 16:42:55 2025] Event: modified, Path: hr_files\HR_myduyen_ly~7070A.tmp
[Fri Aug 22 16:42:55 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 16:42:55 2025] Event: moved, Path: hr_files\HR_myduyen_ly~7070A.tmp
[Fri Aug 22 16:42:55 2025] Event: modified, Path: hr_files\HR_myduyen_ly~07071A.tmp
[Fri Aug 22 16:42:55 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~07071A.tmp
[Fri Aug 22 16:42:57 2025] Event: deleted, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:43:02 2025] Event: created, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:43:07 2025] Event: created, Path: hr_files\HR_myduyen_ly~7354E.tmp
[Fri Aug 22 16:43:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly~7354E.tmp
[Fri Aug 22 16:43:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly~7354E.tmp
[Fri Aug 22 16:43:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly~7354E.tmp
[Fri Aug 22 16:43:07 2025] Event: moved, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 16:43:07 2025] Event: moved, Path: hr_files\HR_myduyen_ly~7354E.tmp
[Fri Aug 22 16:43:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly~07355E.tmp
[Fri Aug 22 16:43:07 2025] Event: modified, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 16:43:12 2025] Event: deleted, Path: hr_files\HR_myduyen_ly~07355E.tmp
[Fri Aug 22 16:43:12 2025] Event: modified, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:57:54 2025] Event: modified, Path: hr_files\HR_buiminhph.xlsx
[Fri Aug 22 16:57:57 2025] Event: modified, Path: hr_files\HR_buiminhph.xlsx
[Fri Aug 22 16:58:01 2025] Event: modified, Path: hr_files\HR_ho_thanh.xlsx
[Fri Aug 22 16:59:00 2025] Event: modified, Path: hr_files\HR_buiminhph.xlsx
[Fri Aug 22 16:59:04 2025] Event: modified, Path: hr_files\HR_buiminhph.xlsx
[Fri Aug 22 16:59:07 2025] Event: modified, Path: hr_files\HR_ho_thanh.xlsx
[Fri Aug 22 16:59:10 2025] Event: modified, Path: hr_files\HR_myduyen_ly.xlsx
[Fri Aug 22 16:59:23 2025] Event: created, Path: hr_files\~$HR_myduyen_ly.xlsx
[Fri Aug 22 16:59:35 2025] Event: modified, Path: hr_files\~$HR_myduyen_ly.xlsx
